<<<<<<< HEAD
1.905976081798000337e+02 -1.349480650792442304e+01 1.376899376108859485e+01
1.410118776267695466e+02 1.032865668865866837e+01 2.200797199191103815e+01
1.003268733423139452e+02 5.262218769385745532e+01 9.061523487376764052e+00
7.322695584066511287e+01 2.948384667351135136e+01 5.416884163710892608e+01
1.713135908014799327e+02 5.991149966460829290e+01 4.138848539625122669e+01
1.028721832585833624e+02 6.205152474616872382e+01 4.639618412437349804e+01
1.220666864842142303e+02 7.886558682139225596e+01 2.804048253962726278e+01
6.850337461388542692e+01 1.434682264401491025e+01 4.721124534815452023e+01
1.777937927039137662e+02 -1.971863855663968934e+01 -5.669772271505352990e+01
1.193174521344118375e+02 6.988523789080267079e+01 2.605308179118274126e+01
1.009434933455334686e+02 6.244597918494790179e+01 5.075392132404756040e+01
6.694538947691586372e+01 2.558099194845332036e+01 4.653998393106843423e+01
1.152859268660825904e+02 7.402330511374952948e+01 2.578161867576653776e+01
1.230172189270501235e+02 1.028661147756183567e+02 -3.459775626724290731e+00
1.389292345752612334e+02 -1.062243213699827216e+01 1.867340353009244680e+01
1.672611474532966440e+02 -5.208586296866283050e+00 1.850434133306287521e+01
1.215423280983912946e+02 3.411352023804685984e+01 4.565521417588434616e+01
1.963783582508295069e+02 -1.887664981922059582e+01 1.369678959890016046e+01
1.549330345365846711e+02 2.147088431708211331e+01 5.490220814427900109e+01
1.616320727848604690e+02 -2.091369300814228183e+01 2.005768610663769991e+01
1.168258895778209876e+02 8.203854630115129964e+01 2.942658966302372647e+01
1.354015869044881697e+02 2.570369195341064739e+01 5.585407946650363442e+01
1.379872441159859022e+02 7.768991237818086404e+01 -1.254750374251305445e+01
1.567356930750831054e+02 1.171892850901121363e+01 4.409354118115597743e+01
1.296982011858614783e+02 2.541353825212054574e+01 1.548383334675441958e+01
1.483036025659929464e+02 8.758222148644911442e+01 -1.679622241877393307e+01
1.729665887065024776e+02 -1.756035404236649100e+01 -6.035852340117308046e+01
